ギター 種類	1	http://livearth-music.com/school/contents/324/	ギター初心者は必見！ギターの種類と選び方7つのポイントまとめ	ギターの種類が分からない！ギターの選び方を教えてほしい！そんなギター初心者のために7つのポイントで分かりやすく解説しました。このギターの種類と選び方7つのポイントまとめを見れば自分にピッタリのギターがきっと見つかる！初めてのギター選びで&nbsp;...
ギター 種類	2	http://guitarjuku3.web.fc2.com/shurui.html	エレキギターの種類と選び方 | エレキギター塾 - 初心者から ...	エレキギターをまだ持っていない人は、最初の一本をまず手に入れる必要があります。エレキギターは種類がたくさんあって、ロックやポップス、ジャズ、演歌といった様々なジャンルで使われています。 最初にどのエレキギターを選んだらいいのか迷っている人は&nbsp;...
ギター 種類	3	http://www22.atwiki.jp/vip_guiter/pages/31.html	VIPでギター まとめ - ギターの種類 - 無料 wiki レンタルサービス	VIPでギター まとめ - ギターの種類 - ギターメーカー（ブランド）一覧はここだよ ストラトキャスター Fender Stratocaster 通称：ストラト 一般的な形のギター 三つのシングルコイル・ピックアップを持ち、ピックアップセレク...
ギター 種類	4	http://www.guitar-guitar-guitar.com/pre/cont03.html	ギターの種類 ｜ ギター初心者のための練習方法	音楽のジャンルによってギターは使い分けられてきており、ギターと一言でいっても様々な種類があります。大きく分けると、楽器自体の響きで演奏するアコースティックギターと、音をピックアップというマイクで拾い、電気的に増幅させて演奏するエレキギターに&nbsp;...
ギター 種類	5	http://www.j-guitar.com/ha/hajime/haji_ele2.html	エレキギター初心者入門講座｜ギターの種類 by J-Guitar.com	ギター初心者のための完全無料、ギター入門講座。 エレキギター初心者入門講座｜ギターの種類.
ギター 種類	6	http://ja.wikipedia.org/wiki/%E3%82%AE%E3%82%BF%E3%83%BC	ギター - Wikipedia	1.1 クラシック・ギターとエレキ・ギターのパーツ名. 2 ギターの種類. 2.1 アコースティック・ギター; 2.2 エレクトリック・ギター; 2.3 両方に属するギター. 3 弦. 3.1 ナイロン弦; 3.2 スティール弦. 4 チューニング（調律）. 4.1 一般的なチューニング; 4.2 特殊なチューニング.
ギター 種類	7	http://www.digimart.net/spcl/starteg/eg_02.html	ギターの種類 | はじめよう！エレキギター【楽器探そう！デジマート】	ひとくちに、エレキギター（エレクトリック・ギターとも言います）といっても、様々な種類があり、それぞれ構造や形などが異なっています。 まずは、エレキギターにはどんな種類があるのかを見ていきましょう。
ギター 種類	8	http://www.3-guitar.com/guitar/page1.html	ギター初心者のためのギター選び ～ギター初心者に絶対に必要 ...	アコギでもエレキでも、あなたがギターを弾くのに必要なものは、次の4つのアイテムだけ！ それは、. ①ギター本体. ②ピック. ③チューナー. ④カポタスト. の4つ。 ギター本体はいいですよね？このあと、ギターの種類や選び方を見ていきます。 2番目のピックという&nbsp;...
ギター 種類	9	http://www.soundhouse.co.jp/howto/guitar/bridge/	エレキギター用ブリッジの種類｜サウンドハウス	エレキギター用のブリッジは主に固定タイプとトレモロタイプの2種類に分かれます。ギター選びの大きなチェックポイントでもありますので自分に合ったブリッジタイプを探してみてください。
ギター 種類	10	http://guitar-hakase.com/39/	エレキギターの種類 -【エレキギター博士】	構造上の違いから、エレキギターはフルアコースティック・ギター（フルアコ）、セミアコースティック・ギター（セミアコ）、そしてフェンダー・ストラトキャスターやギブソン・レスポールでお馴染みのもっとも一般的なギターであるソリッドギターの3種類に分類することが&nbsp;...
