第1回Machine Learning Casual Tal	第1回Machine Learning Casual Talksにてパーソナライズ・ニュースでの機械学習事例について発表しました #MLCT - Yahoo! JAPAN Tech Blog	<a href="http://techblog.yahoo.co.jp/event/mlct1/">http://techblog.yahoo.co.jp/event/mlct1/</a>	レコメンデーション技術の村尾です。 先日（6月6日）、クックパッドで開催された Machine Le	レコメンデーション技術の村尾です。 先日（6月6日）、クックパッドで開催された Machine Learning Casual Talks（#MLCT） において、Yahoo! JAPANの提供しているパーソナライズ・ニュース（あなたにおすすめの記事）での、機械学習（Machine Learning）の活用事例について講演を行いました。 MLCTという機械学習についてのかなりニッチなイベントであっ...
D4S：DEDICATED（写真に身を捧げる者達）	D4S：DEDICATED（写真に身を捧げる者達）	<a href="http://www.youtube.com/watch?v=eq1HkCGqDkE">http://www.youtube.com/watch?v=eq1HkCGqDkE</a>	ニコンのフラッグシップデジタル一眼レフカメラD4Sを使った動画作品です。撮影と演出を担当するコリー・	ニコンのフラッグシップデジタル一眼レフカメラD4Sを使った動画作品です。撮影と演出を担当するコリー・リッチは北米を拠点に活躍する映像作家で、一眼レフ動画の機動性を活かしたスペクタクルな映像と巧みなストーリーテリングで、動画制作の世界に新風を巻き起こし、大きな支持を獲得してきました。彼がD4Sを携えて向かった先は、3名の世界的フォトグラファーの撮影現場。躍動するアスリート、苛酷な自然、そして被写体に...
毎日放送Webサイトが改ざん被害　弁護士事務所の画像に転送 	毎日放送Webサイトが改ざん被害　弁護士事務所の画像に転送 - ITmedia ニュース	<a href="http://www.itmedia.co.jp/news/articles/1406/13/news108.html">http://www.itmedia.co.jp/news/articles/1406/13/news108.html</a>	毎日放送（MBS）は6月13日、公式サイトが改ざん被害にあったことを明らかにした。一時サイトを閉鎖し	毎日放送（MBS）は6月13日、公式サイトが改ざん被害にあったことを明らかにした。一時サイトを閉鎖し、午後0時半までに復旧した。 13日午前4時前、掲示板サイト「2ちゃんねる」にMBSサイトが改ざんされているとの報告があった。サイトトップページにアクセスすると、都内の弁護士事務所の紹介のような画像にリダイレクトされるようになっていた。この弁護士はネット上の誹謗中傷事件に詳しいとして、2chの一部で...
sar で収集したリソース使用情報が sadf コマンドで 	sar で収集したリソース使用情報が sadf コマンドで TSV として出力できる - 宮川拓の日記	<a href="http://d.hatena.ne.jp/miyakawa_taku/20140202/1391330618">http://d.hatena.ne.jp/miyakawa_taku/20140202/1391330618</a>	sar が出力するテキストファイルは、機械可読性が低いため、リソース使用情報のレポートを作る際などに	sar が出力するテキストファイルは、機械可読性が低いため、リソース使用情報のレポートを作る際などに、難渋していました。 kSar というサードパーティのツールを使ってグラフを描いたり、 CSV を出力したりできるのですが、いちいち GUI ツールを立ち上げるのが手間です。で、毎度ブーブー文句を言っていたのですが、ついこないだ、 sysstat に sadf というコマンドが付属していることを知り...
スマホを“丸裸”にして残ったもの--ドコモ「ポータブルSIM	スマホを“丸裸”にして残ったもの--ドコモ「ポータブルSIM」が生まれた背景とは - CNET Japan	<a href="http://japan.cnet.com/interview/35049373/">http://japan.cnet.com/interview/35049373/</a>	上海で開催中のMobile Asia Expo 2014でドコモは6月10日に発表した「ポータブルS	上海で開催中のMobile Asia Expo 2014でドコモは6月10日に発表した「ポータブルSIM」を展示した。ポータブルSIMの開発経緯や今後の展開についてドコモの理事で移動機開発部長の照沼和明氏と、同要素技術開発担当で担当部長の村田充氏に話を聞いた。 ポータブルSIMが生まれた背景 ポータブルSIMの開発経緯について、ここ数年ウェアラブルデバイスの利用が消費者の間に広がっている点に着目し...
あいますダヨー ‐ ニコニコ動画:GINZA	あいますダヨー ‐ ニコニコ動画:GINZA	<a href="http://www.nicovideo.jp/watch/sm23767261">http://www.nicovideo.jp/watch/sm23767261</a>	すいません。配布先をまちがえました。VPVPwiki向けアップローダのMMD01391.lzh及び 	すいません。配布先をまちがえました。VPVPwiki向けアップローダのMMD01391.lzh及び MMD01390.lzhです。コメントで、ご指摘していただき有り難う御座います。パスは、ごちゃごちゃのごちゃをローマ字で・・・。使用ステージ並びに改造元のモデルは、動画内に記載しました。いつかアイマスの登場人物が、全員ダヨー化とか夢の又夢ですかねぇ・・・。使用モーション：見えない黒に堕ちていけ配布用...
米流通とは違う　セブンのビッグデータ活用は店員起点　　：日本	米流通とは違う　セブンのビッグデータ活用は店員起点　　：日本経済新聞	<a href="http://www.nikkei.com/article/DGXNASFK1101K_R10C14A6000000/">http://www.nikkei.com/article/DGXNASFK1101K_R10C14A6000000/</a>	セブン＆アイグループにおけるビッグデータ活用の狙いや体制の概要の一端が、日経ビッグデータ誌の取材で明	セブン＆アイグループにおけるビッグデータ活用の狙いや体制の概要の一端が、日経ビッグデータ誌の取材で明らかになった。店舗での発注精度を高めるために、店員が持つ発注端末にビッグデータの分析結果を表示する。つまり、この戦略の成功のカギは約30万人の店員が握る。現在、グループの主要事業会社に加え、ヤフーやグーグル、日本オラクル、NEC、NTTデータなどIT企業も含めた約130人によって、「会員」「サイト…...
[N] 他人のサイトの情報が丸裸になるGoogle Chro	[N] 他人のサイトの情報が丸裸になるGoogle Chrome機能拡張「SimilarWeb」	<a href="http://netafull.net/googlechrome-extension/047185.html">http://netafull.net/googlechrome-extension/047185.html</a>	他人のサイトの情報が丸裸になるGoogle Chrome機能拡張「SimilarWeb」 2014年	他人のサイトの情報が丸裸になるGoogle Chrome機能拡張「SimilarWeb」 2014年6月13日 14:00 |  Google Chrome機能拡張 |  記事リンク他人のサイトの情報が丸裸になる「SimilarWeb」という怖い便利なサイトがあるのですが、そのGoogle Chrome機能拡張があったので試してみました。「SimilarWeb」からインストールしてください。 スポ...
iPadでオリジナルのキャラクターをデザイン！簡単操作で3D	iPadでオリジナルのキャラクターをデザイン！簡単操作で3Dプリントも | Techable（テッカブル） -海外・国内のネットベンチャー系ニュースサイト	<a href="http://techable.jp/archives/15485">http://techable.jp/archives/15485</a>	レゴブロックが子どもから大人まで楽しめるおもちゃであるように、このほど登場したキャラクターづくりのi	レゴブロックが子どもから大人まで楽しめるおもちゃであるように、このほど登場したキャラクターづくりのiPadアプリ「Modio」は、子どもも大人も夢中になること間違いなしだ。 というのも、アプリ内に用意されたパーツを使えば、簡単に怪獣や兵士といったキャラクターがデザインできる。しかも３Dプリンターにつなげばパーツを出力できるという、誰でもフィギュアクリエイター気分を味わえる。 ■ドラッグ＆ドロップで...
3万円台でOS付きの小型PC『Diginnos LIVA』が	3万円台でOS付きの小型PC『Diginnos LIVA』がドスパラで販売中！ - 週アスPLUS	<a href="http://weekly.ascii.jp/elem/000/000/229/229506/">http://weekly.ascii.jp/elem/000/000/229/229506/</a>	ドスパラは幅や高さがスマホ並みと超小型なPCにWindows8.1（64ビット）を搭載した『Digi	ドスパラは幅や高さがスマホ並みと超小型なPCにWindows8.1（64ビット）を搭載した『Diginnos LIVA』を直販価格2万9980円（税抜き）で販売している。 4月に日本エリートグループが発売した『LIVA』はOSが付属しておらず実売1万8000円前後で販売されているが、本製品は税込で3万2378円と1万円ちょっとの差額でDSP版のWindows8.1（64ビット）がプリインストールさ...
